SampleID,count,Mass,StationCode,Group1,Group1b,Group2,lat,lon,field_sample_p,count_adj,part_per_mass_raw,part_per_mass
15RMPMC-CB10-MP1,163,43.4,CB10,Margins,Margin - Stormwater,Central Bay,37.906683,-122.34666999999999,True,112.5,3.7557603686635948,2.5921658986175116
15RMPMC-CB15-MP1,405,95.7,CB15,Margins,Margin - Stormwater,Central Bay,37.8279,-122.303417,True,359.5,4.231974921630094,3.7565308254963425
15RMPMC-CB32-MP1,384,118.1,CB32,Margins,Margin - Stormwater,Central Bay,37.756633,-122.2204,True,333.5,3.2514817950889077,2.823878069432684
15RMPMC-CB37-MP1,363,93.2,CB37,Margins,Margin - Stormwater,Central Bay,37.6414,-122.3945,True,309.5,3.8948497854077253,3.3208154506437766
17MMP-S-LSB02-MP-1,963,16.0,LSB02,Margins,Margin - Wastewater,Lower South Bay,37.4629,-122.105033,True,878.5,60.1875,54.90625
17MMP-S-LSB04-MP,343,29.2,LSB04,Margins,Margin,Lower South Bay,37.486383000000004,-122.06888300000001,True,276.5,11.746575342465754,9.469178082191782
17MMP-S-LSB06-MP,330,23.0,LSB06,Margins,Margin - Stormwater,Lower South Bay,37.457617,-122.092033,True,272.75,14.347826086956522,11.858695652173912
17MMP-S-SB051-MP,175,66.6,SB051,Margins,Margin,South Bay,37.601766999999995,-122.36200000000001,True,131.5,2.627627627627628,1.9744744744744747
17MMP-S-SB056-MP,75,150.0,SB056,Margins,Margin - Stormwater,South Bay,37.560516,-122.130917,True,32.75,0.5,0.21833333333333332
17MMP-S-SB074-MP,120,150.0,SB074,Margins,Margin - Stormwater,South Bay,37.52775,-122.184,True,71.75,0.8,0.47833333333333333
17MMP-S-SOSL16-MP-1,398,24.0,SOSL16,Margins,Margin - Stormwater and Wastewater,Southern Sloughs,37.4576,-122.03995,True,319.5,16.583333333333332,13.3125
17MMP-S-SOSL16-MP-2,297,25.7,SOSL16,Margins,Margin - Stormwater and Wastewater,Southern Sloughs,37.4576,-122.03995,True,241.5,11.556420233463035,9.396887159533074
17MMP-S-SOSL40-MP,162,4.4,SOSL40,Margins,Margin - Stormwater and Wastewater,Southern Sloughs,37.462083,-122.022217,True,115.5,36.81818181818181,26.249999999999996
17MMP-S-SPB128-MP,203,150.0,SPB128,Margins,Margin - Stormwater,San Pablo Bay,38.01565,-122.30025,True,160.75,1.3533333333333333,1.0716666666666668
17MMP-S-SPB15-MP-1,349,95.0,SPB15,Margins,Margin - Stormwater,San Pablo Bay,38.108383,-122.48823300000001,True,277.5,3.6736842105263157,2.9210526315789473
17MMP-S-SPB15-MP-2,296,81.0,SPB15,Margins,Margin - Stormwater,San Pablo Bay,38.108383,-122.48823300000001,True,228.5,3.654320987654321,2.8209876543209877
17MMP-S-SUB52-MP,118,44.0,SUB52,Margins,Margin,Suisun Bay,38.136216999999995,-122.03498300000001,True,74.75,2.6818181818181817,1.6988636363636365
17MMP-S-SUB53-MP,75,150.1,SUB53,Margins,Margin - Wastewater,Suisun Bay,38.0442,-122.09686699999999,True,32.75,0.4996668887408395,0.21818787475016657
17MMP-S-TB101-MP,116,149.9,TB101,Reference,Reference Site,Tomales Bay,38.2057,-122.929033,True,73.75,0.7738492328218812,0.4919946631087391
17MMP-S-TB102-MP,125,150.2,TB102,Reference,Reference Site,Tomales Bay,38.097983,-122.8457,True,74.5,0.8322237017310253,0.49600532623169113
RMP-14SC-1153,264,150.0,CB001S,Ambient,Ambient,Central Bay,37.87631112,-122.36150190000001,True,219.5,1.76,1.4633333333333334
RMP-14SC-1270,128,47.4,SB002S,Ambient,Ambient,South Bay,37.61019366,-122.1673764,True,85.75,2.70042194092827,1.8090717299578059
